0.0,0.0,0.0,0.81,0.81,0.78,0.81,0.81,0.89,0.85,0.86,0.86,0.83,0.77,0.75
0.0,0.0,0.0,0.89,0.87,0.83,0.88,0.88,0.83,0.85,0.84,0.85,0.82,0.87,0.87
0.0,0.0,0.0,0.89,0.81,0.87,0.81,0.84,0.76,0.76,0.89,0.84,0.86,0.85,0.77
0.0,0.0,0.0,0.9,0.9,0.86,0.87,0.9,0.88,0.79,0.85,0.81,0.81,0.85,0.85
0.0,0.0,0.0,0.81,0.89,0.87,0.8,0.86,0.87,0.85,0.88,0.84,0.86,0.85,0.84
0.0,0.0,0.0,0.9,0.9,0.9,0.91,0.74,0.76,0.85,0.87,0.89,0.87,0.84,0.8
0.0,0.0,0.0,0.84,0.86,0.89,0.83,0.88,0.87,0.83,0.85,0.78,0.88,0.73,0.71
0.0,0.0,0.0,0.81,0.87,0.8,0.89,0.85,0.87,0.87,0.87,0.81,0.73,0.78,0.84
0.0,0.0,0.0,0.89,0.88,0.77,0.77,0.86,0.9,0.71,0.88,0.68,0.78,0.84,0.89
0.0,0.0,0.0,0.89,0.88,0.88,0.85,0.88,0.82,0.84,0.78,0.87,0.87,0.83,0.86
0.0,0.0,0.0,0.76,0.87,0.86,0.87,0.86,0.88,0.86,0.7,0.87,0.82,0.84,0.85
0.0,0.0,0.0,0.87,0.88,0.87,0.83,0.82,0.79,0.89,0.8,0.86,0.85,0.78,0.85
0.0,0.0,0.0,0.88,0.7,0.86,0.87,0.87,0.86,0.75,0.76,0.79,0.85,0.8,0.84
0.0,0.0,0.0,0.87,0.8,0.88,0.88,0.85,0.89,0.82,0.87,0.86,0.84,0.87,0.87
0.0,0.0,0.0,0.9,0.78,0.87,0.87,0.78,0.83,0.87,0.88,0.86,0.74,0.86,0.88
0.0,0.0,0.0,0.76,0.84,0.85,0.85,0.87,0.88,0.88,0.79,0.72,0.81,0.87,0.87
0.0,0.0,0.0,0.86,0.89,0.87,0.87,0.85,0.72,0.73,0.78,0.85,0.78,0.86,0.79
0.0,0.0,0.0,0.89,0.77,0.77,0.85,0.83,0.88,0.9,0.86,0.82,0.87,0.86,0.84
0.0,0.0,0.0,0.81,0.81,0.86,0.84,0.83,0.87,0.85,0.82,0.81,0.85,0.73,0.86
0.0,0.0,0.0,0.9,0.9,0.78,0.83,0.82,0.88,0.87,0.88,0.82,0.87,0.86,0.87
0.0,0.0,0.0,0.86,0.86,0.87,0.88,0.82,0.85,0.82,0.87,0.83,0.87,0.87,0.72
0.0,0.0,0.0,0.86,0.77,0.84,0.85,0.77,0.86,0.79,0.86,0.85,0.82,0.89,0.87
0.0,0.0,0.0,0.87,0.77,0.79,0.72,0.76,0.85,0.85,0.86,0.84,0.85,0.84,0.87
0.0,0.0,0.0,0.9,0.86,0.82,0.8,0.84,0.86,0.84,0.84,0.86,0.85,0.86,0.69
0.0,0.0,0.0,0.74,0.7,0.89,0.88,0.81,0.82,0.71,0.79,0.88,0.76,0.64,0.83
0.0,0.0,0.0,0.87,0.86,0.87,0.86,0.86,0.87,0.8,0.86,0.85,0.8,0.83,0.86
0.0,0.0,0.0,0.76,0.75,0.91,0.87,0.87,0.8,0.87,0.88,0.8,0.88,0.83,0.83
0.0,0.0,0.0,0.72,0.81,0.83,0.76,0.85,0.85,0.81,0.84,0.85,0.86,0.87,0.81
0.0,0.0,0.0,0.86,0.8,0.85,0.81,0.87,0.85,0.82,0.87,0.77,0.87,0.88,0.64
0.0,0.0,0.0,0.86,0.87,0.82,0.85,0.88,0.62,0.85,0.75,0.85,0.88,0.85,0.83
0.0,0.0,0.0,0.84,0.86,0.88,0.85,0.85,0.88,0.83,0.87,0.7,0.76,0.86,0.81
0.0,0.0,0.0,0.86,0.86,0.91,0.88,0.8,0.9,0.84,0.84,0.8,0.77,0.85,0.86
0.0,0.0,0.0,0.9,0.81,0.87,0.77,0.84,0.76,0.85,0.84,0.87,0.84,0.77,0.86
0.0,0.0,0.0,0.89,0.89,0.85,0.86,0.84,0.81,0.86,0.83,0.74,0.87,0.73,0.82
0.0,0.0,0.0,0.78,0.81,0.76,0.8,0.81,0.79,0.83,0.85,0.88,0.89,0.84,0.88
0.0,0.0,0.0,0.85,0.8,0.79,0.82,0.88,0.84,0.73,0.84,0.83,0.88,0.86,0.79
